transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000500,card_00218,2026-01-17T17:43:36Z,pharmacy,False,False,dev_000278,IN,34227
txn_0000501,card_00162,2026-01-26T22:49:13Z,travel,False,False,dev_003808,GB,3398
txn_0000502,card_00666,2026-01-03T21:35:59Z,online_retail,False,False,dev_004122,US,44900
txn_0000503,card_00082,2026-01-12T13:55:09Z,utilities,True,False,dev_000874,AE,651
txn_0000504,card_00087,2026-01-07T06:04:45Z,grocery,True,False,dev_001611,SG,5913
txn_0000505,card_00521,2026-01-21T14:44:43Z,utilities,False,False,dev_000797,SG,96080
txn_0000506,card_00559,2026-01-30T01:35:17Z,online_retail,True,False,dev_000232,SG,803
txn_0000507,card_00015,2026-01-06T01:40:00Z,grocery,True,False,dev_002058,DE,1227
txn_0000508,card_00872,2026-01-30T08:04:20Z,utilities,True,False,dev_004200,DE,15880
txn_0000509,card_00052,2026-01-05T11:59:12Z,online_retail,False,False,dev_002118,US,17526
txn_0000510,card_00677,2026-01-28T20:43:17Z,restaurant,True,False,dev_002389,GB,21902
txn_0000511,card_00263,2026-01-15T00:08:58Z,online_retail,True,False,dev_001645,IN,11420
txn_0000512,card_00541,2026-01-12T17:00:25Z,fuel,True,False,dev_001532,DE,9609
txn_0000513,card_00893,2026-01-09T22:37:55Z,travel,True,False,dev_003492,IN,12801
txn_0000514,card_00041,2026-01-17T00:07:33Z,fuel,True,False,dev_000302,DE,7553
txn_0000515,card_00637,2026-01-13T07:12:12Z,travel,False,False,dev_004616,IN,44544
txn_0000516,card_00440,2026-01-15T11:15:34Z,restaurant,True,False,dev_000840,DE,11292
txn_0000517,card_00134,2026-01-30T22:17:42Z,atm_withdrawal,True,False,dev_003721,IN,9225
txn_0000518,card_00692,2026-01-17T16:00:13Z,electronics,False,False,dev_001953,US,9641
txn_0000519,card_00064,2026-01-17T20:59:55Z,utilities,False,False,dev_000395,GB,21212
txn_0000520,card_00025,2026-01-08T01:12:17Z,electronics,False,False,dev_001359,GB,6248
txn_0000521,card_00518,2026-01-21T14:08:19Z,travel,True,False,dev_003857,GB,2594
txn_0000522,card_00678,2026-01-27T05:24:13Z,travel,False,False,dev_003272,AE,11388
txn_0000523,card_00549,2026-01-12T10:25:54Z,pharmacy,False,False,dev_004831,IN,6425
txn_0000524,card_00144,2026-01-19T21:30:51Z,atm_withdrawal,False,False,dev_001466,US,29628
txn_0000525,card_00134,2026-01-09T09:48:51Z,pharmacy,True,False,dev_004991,DE,23990
txn_0000526,card_00632,2026-01-08T15:47:34Z,utilities,True,False,dev_000512,AE,2959
txn_0000527,card_00531,2026-01-24T04:59:10Z,travel,True,False,dev_000061,GB,5253
txn_0000528,card_00663,2026-01-08T08:40:44Z,grocery,False,False,dev_003852,IN,1391
txn_0000529,card_00186,2026-01-29T18:28:32Z,entertainment,False,False,dev_002416,DE,28119
txn_0000530,card_00560,2026-01-05T05:29:58Z,pharmacy,True,False,dev_001746,US,1533
txn_0000531,card_00358,2026-01-06T03:26:07Z,entertainment,False,False,dev_002008,GB,2654
